,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age
1,7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755,171.5,8.0,21.0,17.5,1,0,1,0,8
2,10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462,103.25,5.0,10.65,9.95,0,1,0,1,6
5,28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199,88.7,5.0,10.57,9.9,0,1,0,1,6
7,36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248,88.5,5.0,11.12,8.63,1,0,0,1,6
10,60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393,147.8,8.0,19.34,16.5,1,0,0,1,7
11,67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950,194.0,5.0,49.14,35.67,1,0,1,0,5
12,69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396,88.7,5.0,11.81,10.5,1,0,0,1,6
14,81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193,88.7,5.0,6.67,4.5,0,1,0,1,7
15,102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198,67.0,7.0,6.45,3.95,0,1,0,1,7
17,110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755,171.5,7.0,27.0,19.25,1,0,1,0,7
18,111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196,73.0,5.0,5.13,3.91,0,1,0,1,7
20,117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198,75.94,5.0,9.51,6.55,0,1,1,0,8
21,119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248,88.5,5.0,9.96,7.5,1,0,0,1,8
22,122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582,126.2,5.0,14.44,10.95,1,0,0,1,6
24,134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996,362.07,2.0,95.04,54.0,0,1,1,0,7
25,135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591,121.3,5.0,13.49,11.5,0,1,1,0,5
28,173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197,81.86,5.0,7.39,6.5,0,1,0,1,5
30,187,Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197,83.1,5.0,8.78,7.5,0,1,0,1,7
31,193,Maruti Ertiga ZDI,Mumbai,2016,33000,First,25.47,1248,88.5,7.0,12.74,8.5,1,0,0,1,8
32,200,Mahindra NuvoSport N6,Chennai,2017,29000,Second,17.45,1493,100.0,7.0,10.52,6.5,1,0,0,1,7
33,201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,24.3,1248,88.5,5.0,11.98,9.0,1,0,0,1,8
35,219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,14.67,1798,177.46,5.0,33.58,26.0,0,1,1,0,7
38,228,Mini Cooper Convertible S,Kochi,2017,26327,First,16.82,1998,189.08,4.0,44.28,35.67,0,1,1,0,7
39,235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,First,11.36,2755,171.5,7.0,20.74,19.64,1,0,1,0,5
41,256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,First,13.68,2393,147.8,7.0,25.52,18.65,1,0,0,1,7
43,264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,First,11.57,2987,254.79,5.0,95.13,61.29,1,0,1,0,7
44,277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,First,22.95,1248,74.0,5.0,8.34,3.75,1,0,0,1,7
45,290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,First,22.95,1248,74.0,5.0,8.34,5.25,1,0,0,1,6
47,298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,First,13.68,2393,147.8,7.0,25.4,20.25,1,0,0,1,8
48,303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,First,18.0,1497,117.3,5.0,16.67,12.69,0,1,1,0,7
49,310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,First,17.9,2143,201.15,5.0,79.43,57.0,1,0,1,0,7
51,327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,First,14.75,2967,245.0,7.0,1.04,62.67,1,0,1,0,7
52,343,Maruti Vitara Brezza LDi,Chennai,2016,45000,First,24.3,1248,88.5,5.0,9.12,7.15,1,0,0,1,8
55,352,Maruti Alto K10 VXI,Pune,2017,30000,First,24.07,998,67.1,5.0,4.48,3.75,0,1,0,1,7
56,355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,First,19.33,1999,177.0,5.0,72.64,52.0,1,0,1,0,7
57,357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,First,14.67,1798,177.46,5.0,36.15,27.3,0,1,1,0,5
